client_id,captured_at,stored_at,source,flex_timestamp,flex_ch0_raw,flex_ch0_volt,flex_ch1_raw,flex_ch1_volt,flex_ch2_raw,flex_ch2_volt,flex_ch3_raw,flex_ch3_volt,flex_ch4_raw,flex_ch4_volt,flex_prediction,flex_values,mediapipe_prediction,mediapipe_frame
9,2026-05-20T10:59:05.229Z,2026-05-20T10:59:05.235684+00:00,continuous,2026-05-20 15:14:39,18321,0.9225,20243,1.0161,19539,0.9871,0,0.0,0,0.0,"{""gesture"": ""unknown"", ""confidence"": 0.23, ""classId"": -1}","{""timestamp"": ""2026-05-20 15:14:39"", ""ch0_raw"": 18450, ""ch0_volt"": 0.9258, ""ch1_raw"": 20179, ""ch1_volt"": 1.0226, ""ch2_raw"": 19539, ""ch2_volt"": 0.9807, ""ch3_raw"": 0, ""ch3_volt"": 0, ""ch4_raw"": 0, ""ch4_volt"": 0, ""target"": 1000}",{},{}
9,2026-05-20T10:59:14.415Z,2026-05-20T10:59:14.422246+00:00,continuous,2026-05-20 15:14:49,18450,0.9258,20179,1.0193,19667,0.9903,0,0.0,0,0.0,"{""gesture"": ""unknown"", ""confidence"": 0.23, ""classId"": -1}","{""timestamp"": ""2026-05-20 15:14:46"", ""ch0_raw"": 18385, ""ch0_volt"": 0.9258, ""ch1_raw"": 20307, ""ch1_volt"": 1.0161, ""ch2_raw"": 19475, ""ch2_volt"": 0.9807, ""ch3_raw"": 0, ""ch3_volt"": 0, ""ch4_raw"": 0, ""ch4_volt"": 0, ""target"": 1000}",{},{}
9,2026-05-20T10:59:16.801Z,2026-05-20T10:59:16.810065+00:00,continuous,2026-05-20 15:14:51,18321,0.9258,20179,1.0161,19539,0.9871,128,0.0,0,0.0,"{""gesture"": ""unknown"", ""confidence"": 0.23, ""classId"": -1}","{""timestamp"": ""2026-05-20 15:14:46"", ""ch0_raw"": 18385, ""ch0_volt"": 0.9258, ""ch1_raw"": 20307, ""ch1_volt"": 1.0161, ""ch2_raw"": 19475, ""ch2_volt"": 0.9807, ""ch3_raw"": 0, ""ch3_volt"": 0, ""ch4_raw"": 0, ""ch4_volt"": 0, ""target"": 1000}",{},{}
